Feature	CompGroup(C)	BaseGroup(B)	NumSamplesInC	NumSamplesInB	SignedFC	Tstatistic	Parameter	Pvalue	95%Conf.Int.1	95%Conf.Int.2	MeanC	MeanB	NullValue-DifferenceInMeans	Alternative	Method	FDR
1	241871_at|CAMK4	Incipent	Control	7	8	-1.51182109889105	-5.40165858215432	12.7877463045784	0.00012792895822956	-0.835172866791043	-0.357401990351814	3.91174757142857	4.508035	0	two.sided	Welch Two Sample t-test	0.999448188432275
2	223330_s_at|SUGT1	Incipent	Control	7	8	-1.57518711402035	-5.30993265910271	12.5319632670024	0.00016005848196328	-0.923241695967165	-0.387804732604263	4.10663028571429	4.7621535	0	two.sided	Welch Two Sample t-test	0.999448188432275
3	1565702_at|SMAD4	Incipent	Control	7	8	1.47729811888608	5.05402384425186	12.7548799860174	0.00023419168039934	0.321849453405242	0.804072529523329	2.16809774771429	1.60513675625	0	two.sided	Welch Two Sample t-test	0.999448188432275
4	226500_at|ZBTB47	Incipent	Control	7	8	1.34319229268411	5.04127820762523	12.3903481448233	0.00026168224042314	0.24233616683224	0.608995547453475	6.28581485714286	5.860149	0	two.sided	Welch Two Sample t-test	0.999448188432275
5	212731_at|ANKRD46	Incipent	Control	7	8	-1.7959937621126	-4.95977601170679	11.5105288249624	0.00037462230194467	-1.21765020219879	-0.471914476372638	5.30624128571429	6.151023625	0	two.sided	Welch Two Sample t-test	0.999448188432275
6	231244_at|CASD1	Incipent	Control	7	8	1.49596687704516	4.51779881293328	12.8781871074034	0.00059168885622816	0.302944707452037	0.859211756833677	3.30276485714286	2.721686625	0	two.sided	Welch Two Sample t-test	0.999448188432275
7	208761_s_at|SUMO1	Incipent	Control	7	8	-1.28099028620603	-4.55527934355933	12.4651487942221	0.00059983476082478	-0.527434010915707	-0.187085060512864	5.26736171428571	5.62462125	0	two.sided	Welch Two Sample t-test	0.999448188432275
8	227556_at|NME7	Incipent	Control	7	8	-1.32063970707381	-4.87864660926121	10.2413087943471	0.00060026892887048	-0.583903259033956	-0.218570598108902	10.0981405714286	10.4993775	0	two.sided	Welch Two Sample t-test	0.999448188432275
9	1555568_at|GUSBP2	Incipent	Control	7	8	1.18607889714023	4.66910388656027	11.4836416773527	0.00060950440282989	0.130736481290347	0.361663478995368	5.82226873214286	5.576068752	0	two.sided	Welch Two Sample t-test	0.999448188432275
10	1562643_at|LOC101929279	Incipent	Control	7	8	1.31881669079459	4.58395217697783	12.1394923324656	0.00060985663576073	0.209719658796604	0.588768442846252	2.68654906457143	2.28730501375	0	two.sided	Welch Two Sample t-test	0.999448188432275
11	200696_s_at|GSN	Incipent	Control	7	8	1.72510856965264	4.55967028199632	12.0430213441354	0.00064920054016051	0.410922004056288	1.16245231737228	6.14770328571429	5.361016125	0	two.sided	Welch Two Sample t-test	0.999448188432275
12	206432_at|HAS2	Incipent	Control	7	8	-1.22814221080935	-4.99545746265119	9.40657070351661	0.00065079565217793	-0.429856013973418	-0.163099236026582	1.55173	1.848207625	0	two.sided	Welch Two Sample t-test	0.999448188432275
13	214541_s_at|QKI	Incipent	Control	7	8	1.32687864433971	4.57284342085118	11.748176788054	0.00067583775583876	0.213156989959541	0.602915867183315	8.79541342857143	8.387377	0	two.sided	Welch Two Sample t-test	0.999448188432275
14	228636_at|BHLHE22	Incipent	Control	7	8	-1.50554847565913	-4.48781072037994	12.3575287835459	0.00069084897095024	-0.875955111437495	-0.304623209991076	7.38356371428571	7.973852875	0	two.sided	Welch Two Sample t-test	0.999448188432275
15	210749_x_at|DDR1	Incipent	Control	7	8	1.32191470284392	4.48423526747546	12.2834466656047	0.00070550874615883	0.207498040029174	0.597760138542256	5.47451771428571	5.071888625	0	two.sided	Welch Two Sample t-test	0.999448188432275
16	223111_x_at|ARID4B	Incipent	Control	7	8	1.44012717023743	4.40022458840207	12.9313663227406	0.00072624753017102	0.267711354557699	0.784681074013729	6.26562771428571	5.7394315	0	two.sided	Welch Two Sample t-test	0.999448188432275
17	228652_at|ZNF776	Incipent	Control	7	8	-1.46112516318688	-4.39855267613869	12.585661764102	0.00077594382133947	-0.816682422688205	-0.277477113026081	2.51724885714286	3.064328625	0	two.sided	Welch Two Sample t-test	0.999448188432275
18	1557700_at|POLH	Incipent	Control	7	8	-1.25529784805444	-4.63668218901729	10.6299474563162	0.00078853384456857	-0.484405956755604	-0.171653477458682	2.02002940614286	2.34805912325	0	two.sided	Welch Two Sample t-test	0.999448188432275
19	1553718_at|ZNF548	Incipent	Control	7	8	-2.10611745755162	-4.5287004725039	11.2889675776182	0.00080542846903561	-1.59521695305458	-0.553954841516851	3.55500432871429	4.629590226	0	two.sided	Welch Two Sample t-test	0.999448188432275
