Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM340547,0,0.14369753301024,0,0.0461192528955292,0.156705200404422,0,0.0713151196429108,0,0.211086284515542,0,0.119685537474038,0,0.0496704523147828,0.0533754492885873,0.0371887729506882,0.0389819366818957,0,0.0607640444951857,0,0.0114104163261783,0,0,0,0.0450323503646368,1.08244412213006
GSM340548,0,0.0929416141869086,0.217747962808874,0,0,0.14163878555861,0.0147474892367634,0,0.102924777119153,0,0.0240652011911907,0.0186570249057314,0.0404939915256728,0,0,0.163021970832025,0,0.140891177575927,0.0428700050591447,0,0,0,0,0.0392338602969317,1.04554148671997
GSM340549,0.0205890850486424,0,0.00634727750243926,0.164756299029832,0,0.14385025820158,0,0,0.0814731662486882,0.121679175900588,0,0.0367973146362909,0.0331035956320576,0.0660547077775213,0.0309321202813903,0.0655701321881843,0,0.0136524801649293,0.207370484596664,0,0.00782390279119311,0,0,0.0508931276783907,1.08163958310854
GSM340550,0.0667880739704869,0,0.00605110590361595,0.120424724433932,0,0.157408930566948,0,0,0.0141668532233493,0,0,0.057822731543111,0.411612331620925,0.000523076273572664,0.0372989396088138,0.0116996168851876,0,0.0335812394633199,0.0826223765067379,0,0,0,0,0.104696890526122,1.06504205968087
GSM340551,0,0.0327824212620898,0.0329477167334021,0,0,0.211947764200406,0.18815690924564,0,0,0,0,0.0507033883982743,0,0,0,0.204608916635795,0,0.0916899360157537,0.15818515153232,0,0,0.0289777959763196,0,0.00408966393562585,1.06962162030029
GSM340552,0.0230771528574372,0.00398259759020655,0.0163380418939049,0.113562143858746,0,0.00661972709950608,0,0,0.235152323713423,0.136816956324345,0,0.0057052440941171,0.0596565031999155,0,0.00350495868751456,0.161256698658378,0,0.0756926990200332,0.158634953002473,0,0,0,0,0.0352114286620473,1.07428415960527
GSM340553,0,0.0399415107470314,0,0.00415759730509683,0.10914645875494,0,0.126226848732331,0,0.173621221071535,0.0258948053759631,0.0874117145708533,0,0.00911135833376591,0.25405923331726,0.0593361047125572,0.0201939334457753,0,0.0711940477456477,0,0.0197051658872428,0,0,0,0.0587363398662209,1.08098955666699
GSM340554,0,4.46055060502083e-05,0.0779038375454722,0.0508930964177428,0,0.222007405195105,0.0377899132765123,0,0.0466005948833619,0.18290641400794,0,0,0.0298318989945772,0,0.0551652793257159,0.184009368551224,0.00400678063502168,0.0149728857901599,0.0511306927764812,0.0427372270946359,0,0,0,0.0545583877115261,1.07142024541881
GSM340555,0.0321272947649088,0,0.0210623183712608,0.00375277420259354,0.054508795694917,0.266505193496072,0.00278231839279362,0,0,0.0152709783118134,0,0.0664724338952825,0.104426761642078,0.0581665020639913,0.0960423332763256,0.0410286871181027,0.0114583209810281,0.0478112263958751,0.14188764150559,0,0.0366964198873679,0,0,0.0626656300558692,1.0607391733663
GSM340556,0.01012700506497,0.0244560314331759,0.0466605072976062,0.100132676714193,0.0463883961793144,0,0.037288404673668,0.00468315816828335,0.107585542452603,0.0023718275110647,0.00586710245235822,0,0.197211848855134,0.00035657306764601,0.118935369799497,0.0496801187736206,0,0.146716004281865,0.101539433275,0,0,0,0,0.15223258235813,1.02949025498526
GSM340557,0.00381936482958529,0.0198092581015002,0.139794787902126,0.107081049087812,0,0.192170169668654,0.0568890958444878,0,0.0415327255329004,0.108943064397823,0.00822308330955844,0,0.0364743415311756,0,0.0545869731306132,0.17105012572976,0.0050485272897651,0.00102317412153657,0.053554259522702,0,0,0,0,0.0885689149916053,1.04633846782942
GSM340558,0.0327450432293247,0,0.0220274454004171,0.190884914499296,0.0484079356289165,0.183530800813428,0.0437733469930414,0,0.0326458299674318,0.0453903142935348,0,0.0449189605660172,0.0353802438002675,0.0436961148142164,0.0468424020443621,0.0548000384771448,0.0202869202859085,0.0562025384085034,0.0984671507781897,0,0,0,0,0.135590485967159,1.04410627231827
GSM340559,0.0161231112097599,0,0.00432934433752057,0.303750059527538,0,0.0766839341337159,0.0808664682316662,0.0398559857726252,0.0631408499566994,0,0,0,0.0306113084072546,0,0.0183372681739337,0.160822709861158,0,0.028856671978805,0.0205209677823601,0.0653546726459491,0,0.0907466479810142,0,0.0494441684854194,1.08068497390224
GSM340560,0.00553028911305157,0,0,0.0745427122635572,0,0.35150255587711,0.0772896036600109,0.00092473103266222,0,0.00888298853557366,0.035850055687743,0,0,0,0.0477714899691238,0.184329152540493,0.00296617178186609,0.0912909039192174,0.116093545208141,0.00302580041144978,0,0,0,0.047110600352559,1.07401441930187
GSM340561,0.00913788273600261,0,0.0468581471721512,0.103892936261533,0.0328328353802477,0,0.0957780855886116,0.000408306643584129,0.0172889308184188,0.0120660594992583,0.0777929440243137,0,0.0176389233249,0,0,0.244994116544624,0.0395021547196529,0.093102802207082,0,0.138229347900111,0.0425017508197593,0.0279747763597496,0,0.0305943007602779,1.07406228096419
GSM340562,0.224044304356669,0.215502879494182,0.0586639478160728,0.0535286471706364,0.00327957672526029,0.0053862356560618,0,0.0887635044541157,0.0786922917911202,0,0.00135632869228636,0.0185279092925527,0.00458773365506011,0.0682062906734282,0.0544736507853372,0.0519897875917352,0,0.0308205451660227,0.0421763666794587,0,0,0,0,0.29349916354458,0.970992875387356
GSM340563,0.0818690530329501,0,0,0.00220615933026159,0,0,0,0.0782215050193967,0.223152920768478,0.0890995012446264,0,0.0351082753364099,0.0331915273482151,0.0677875655594482,0.148376464488841,0.0266383253926034,0.0367911577097592,0,0.17755754476901,0,0,0,0,0.120700692603969,1.04583481309053
GSM340564,0.00736123708204876,0,0.0307753433754552,0.206482116706017,0,0,0,0,0.122368750641943,0.162273756278776,0,0.00348682453377229,0.0298282998358026,0.0269769718749181,0.0513718392433551,0.153295335161472,0.0158299890117451,0,0.189949536254695,0,0,0,0,0.0565479092436904,1.07319467562977
GSM340565,0,0.012140351595921,0.195988774971024,0.0910689879252806,0,0,0.029594605738832,0.0433780697725701,0.166033224151164,0.194155069524035,0,0.0278825290823158,0,0.0474293822075671,0.0406870315135642,0,0.0882726614836684,0.0258778798126455,0.0374914322214112,0,0,0,0,0.0738823265069936,1.06073917506562
