Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM340537,0.0565051559115344,0,0.0192337193724577,0.00417092117457581,0,0.322142953459225,0.054853906972206,0,0,0,0,0.0768196793484184,0.0237330802849963,0.031361532599396,0.0549527750534675,0.0923792223573128,0,0.00941065330662581,0.25389596662674,0,0,0.000540433533043948,0,0.0813776159318294,1.05228259253933
GSM340538,0.0142310567839103,0,0.0793922961250441,0.222795348830928,0,0.093531245027121,0,0,0.124042557184336,0.0444189997670022,0.0576243741969308,0,0.0428418576624352,0,0.0434353371689444,0.181792946608803,0,0.0117141560580752,0.0841798245864704,0,0,0,0,0.161513104508297,1.02606061123057
GSM340539,0,0,0.0572780952866541,0.21641295967957,0,0.264207861608489,0.0186024052195901,0,0.0274039796174947,0,0.046563888781097,0,0.0251160728056811,0,0.0600444174713178,0.217345319339758,0,0.0131030801192744,0.0539219200710744,0,0,0,0,0.0942069343191421,1.06245468495405
GSM340540,0,0,0,0.134637040540611,0,0.299359233187136,0,0,0,0,0.00399033991224214,0.0127361163715316,0.0374344263543072,0,0.0479837134308429,0.195380354415552,0.019502728041429,0.0101214807393242,0.238854567007024,0,0,0,0,0.0868166983101599,1.05410976964449
GSM340541,0.0397044072540117,0,0,0.154661161010045,0.0732147628868645,0.162781783010384,0.0585763048150406,0,0,0,0.0272941602638606,0.0453260712522218,0.0633294195469917,0.032960994360658,0.0514862907603088,0.153966656769773,0.000877477937755177,0.0115049030078265,0.117535532836737,0,0.00678007428752249,0,0,0.080386312019656,1.05780199706674
GSM340542,0.112095715413226,0.207542132633569,0.0607060575523036,0.0778051244931932,0.0278094523962073,0,0.0299031886362839,0,0.0700439956629779,0,0.126107621788625,0,0.0902069796395626,0.0336053475432427,0.0108392200334708,0.0742787392007093,0,0.0100506198803055,0,0.0417628780077131,0,0.0272429271186093,0,0.125801000035421,1.03684196365307
GSM340543,0.0372238545934583,0,0,0,0,0.273161908013344,0,0,0,0,0.0519302273997929,0.0195991607257694,0.0843232384004299,0.00226741688916948,0.100829877896249,0.154869194830262,0.00614874794350525,0,0.261852823479474,0,0,0.00779354982854572,0,0.107615313718488,1.04053707358053
GSM340544,0.0439147295397036,0,0.00275038719477848,0,0.00178497730900495,0.0370036486914248,0.0412585752966711,0.00488617207274001,0.144700529155144,0,0.129464029678537,0,0.0722454338238873,0,0.020992402931759,0.375284664194331,0,0.0505580062868875,0,0.0220310596840413,0.0120788226949232,0.0410465614461664,0,0.11551028997207,1.04927322163762
GSM340545,0.0304941802403671,0,0,0.118789490233189,0,0.181534399034251,0.0158434531167985,0,0,0.0927011033070298,0,0.0980225331029434,0.021079755823958,0.0253732426324495,0.0669235884238535,0.124970245056531,0,0.0175549701148759,0.206713038913753,0,0,0,0,0.0906834481455956,1.0678266063945
GSM340546,0.0327550231576343,0,0.00158253343785226,0.0907652001272054,0,0.447022986028325,0,0,0.00356344286979583,0.0680944993641351,0,0.0281636344365569,0.0621714311439351,0.0331130717099474,0.0552316627946386,0.0864353790637094,0,0.0106947526974232,0.0689024695418251,0,0.0115039136270162,0,0,0.0986825214533467,1.07340268372828
